,Title,Author,ISBN Valid,Publisher,Subjects,i,description,categories,average_rating,ratings_count,page_count,language
264,Controverses ; et Suasoires /,"Seneca, Lucius Annaeus, l'Ancien",,Garnier,,264,,,,,,
265,Les cultes isiaques dans le monde gréco-romain /,,9782251339696; 2251339698,Editions Belles Lettres,Isis - culte; Civilisation classique; Objets liturgiques; Littérature antique; [Sources]; [Répertoires]; [Anthologies],265,"English summary: The Egyptian cult of Isis and her family was one of the most successful and widespread of the ancient world. This richly illustrated collection presents hundreds of documents and objects, translated and discussed, that have furthered our understanding of the impact of Isis on the Greco-Roman world. French description: La diffusion, dans l'ensemble du Bassin mediterraneen et meme au-dela (en Arabie, en Inde et dans la lointaine Bretagne), du culte de plusieurs divinites originaires d'Egypte (Isis et son paredre Sarapis, leur fils le petit Harpocrate, Anubis le dieu chacal, Apis le buf de Memphis, Osiris meme) est l'un des phenomenes les plus remarquables des epoques hellenistique et romaine. Longtemps assise sur quelques textes litteraires, de belles inscriptions grecques et latines, d'imposantes statues de Rome, d'Athenes ou d'ailleurs, notre comprehension de l'accueil reserve par les non-Egyptiens a cette divine famille s'est considerablement approfondie et affinee par l'etude et l'analyse de milliers de documents sortis de terre depuis la Renaissance (bijoux, statuettes, papyrus, ceramiques, monnaies). On trouvera dans le present recueil, richement illustre, plusieurs centaines de ces documents traduits le cas echeant en francais et commentes, revelant l'extraordinaire impact qu'eurent les cultes isiaques sur les populations du monde greco-romain pres de huit siecles durant.",Greece,,,0.0,fr
266,Isis : mère des dieux /,"Dunand, Françoise 1934-....",2877721841; 9782877721844,Editions Errance,Civilisation antique--Influence égyptienne; Religion égyptienne; Isis--Culte; Isis; Isis - culte,266,"La plus populaire des déesses d'Egypte, Isis, doit sa première renommée à la résurrection d'Osiris, quand elle reconstitua le corps du dieu et conçut de lui son fils Horus. Considérée comme une grande magicienne, Isis protège les enfants et représente l'épouse fidèle. Souvent représentée en train d'allaiter, elle est avant tout la Mère. Ce qui lui assura son énorme succès et fit que les Grecs puis les Romains l'adoptèrent. Ils lui prêtèrent des vertus d'abondance, et des temples lui furent dédiés dans tout l'Empire, en Gaule, en Espagne, sur le Rhin et le Danube. Son imagerie et certains de ses attributs se retrouveront dans le culte marial.",Isis (Divinité égyptienne),,,206.0,fr
267,Recueil des inscriptions concernant les cultes isiaques (RICIS) /,"Bricault, Laurent 1963-....",2877541568; 9782877541565,Diff De Boccard,Isis - culte--* épigraphie--Antiquité--[corpus]; inscription grecque--Isis - culte--[corpus]; inscription latine--Isis - culte--[corpus]; inscription--Isis - culte--Antiquité--[corpus],267,"Les différentes recherches menées depuis une trentaine d'années pour une connaissance plus approfondie et une meilleure compréhension de la diffusion des cultes isiaques dans le monde gréco-romain ont fait apparaître le besoin de disposer d'un nouveau corpus épigraphique, tant les publications se sont multipliées depuis le début des années 1970. Le présent recueil, avec ses 1771 inscriptions isiaques traduites et commentées, double le nombre de celles publiées par Ladislav Vidman en 1969 dans sa précieuse Sylloge Inscriptionum Religionis Isiacae et Sarapiacae (SIRIS) et offre en outre aux lecteurs un fort volume de 135 planches. Des index très détaillés devraient permettre en outre d'ouvrir de nombreuses pistes de recherches. Avec ces trois volumes, chercheurs confirmés et étudiants disposent désormais d'un instrument de travail qui marque une étape décisive pour l'approche d'un secteur neuf de l'étude de la culture antique. Celui-ci s'inscrit au coeur d'une «trilogie isiaque» due au même auteur et publiée dans les Mémoires de l'Académie, comprenant l'Atlas de la diffusion des cultes isiaques (Mémoires t. XXIII) paru en 2001, ainsi que la Sylloge Nummorum Religionis Isiacae et Sarapiacae (Mémoires t. XXXVIII) paru en 2008.",History,,,440.0,fr
268,La fin de la plainte /,"Roustang, François",2738107583; 9782738107589,O Jacob,psychothérapie; guérison--psychothérapie,268,"Que cherche un patient qui vient voir un thérapeute ? Il s’épanche, il se plaint, il dit vouloir changer. Mais comment faire ? C’est la question que se pose tout thérapeute, et aussi chacun de nous, dès qu’il est confronté à une grande douleur, à une perte, dès qu’il en a assez. Comment faire ? Gémir, ruminer, récriminer ? Chercher une écoute, une consolation pour mieux patauger dans nos ""problèmes"" ? Non, répond François Roustang. Il faut au contraire en finir avec la plainte, sortir de notre moi chéri, que nous cultivons à coups de jérémiades. À cette condition, nous pourrons vraiment refondre notre existence pour nous ouvrir enfin au monde et aux autres. Philosophe et psychanalyste de formation, praticien original, François Roustang est sans doute celui qui s’interroge avec le plus de force critique sur le sens et l’effet des thérapies. Il est l’auteur de plusieurs ouvrages désormais classiques, comme Un destin si funeste, Qu’est-ce que l’hypnose ? et Comment faire rire un paranoïaque ?",Social Science,,,260.0,fr
269,"Oeuvres / Poésies de jeunesse, poésies diverses ... ;","Baudelaire, Charles",,puis Gallimard; La Pléiade,,269,,,,,,
270,Oeuvres poétiques et dramatiques /,"Péguy, Charles, 1873-1914",9782070134168; 2070134164,Gallimard,,270,"La postérité retient parfois de Péguy l efficacité du polémiste, le prophétisme du philosophe de l Histoire, le moraliste aigu, l anarchiste irréductible ou le socialiste humaniste et, d une manière peu discutée, le patriote martyr. Mais le poète, le connaît-on vraiment? La répétition est l arme, redoutable, de sa versification. Elle ne produit pas de radotage. C est le martèlement d une voix adressée au public que Péguy entend, en quelque sorte, réinventer; et c est sans doute aussi la marque d une scansion, qui rejoint la part d oralité consubstantielle à presque toute poésie. Henri Meschonnic écrivait de celle de Péguy qu elle était une ±épopée de la voix». Elle est simple, sans affectation. Si Du Bellay et Corneille sont des modèles, Villon n est jamais très loin. -- Publisher.",,,,1894.0,fr
271,Oeuvres romanesques complètes /,"Bernanos, Georges",9782070114863; 2070114864; 9782070149261; 2070149269; 9782070149568; 2070149560,Gallimard,,271,"Le premier roman de Bernanos, Sous le soleil de Satan, paraît en 1926. Au jeune Malraux qui lui fait part de son enthousiasme, Gide rétorque : «cette chose m'est contraire». C'est que «Bernanos mettait brutalement en question tout ce que ""l'Europe la plus cultivée"" pensait de la création romanesque», se souvient Malraux en 1974. Cette «heureuse négligence» des lois du roman a pu déconcerter : «Si l'on dit de Georges Bernanos qu'il fut le plus grand romancier de son temps, nul n'est surpris ; mais nul n'est convaincu». Elle est aussi ce qui confère à ses récits leur intemporalité. Les romanciers français de l'entre-deux-guerres intéressent peu Bernanos. Il ne leur ressemble pas. S'il fallait l'inscrire dans une lignée, ce serait celle de Dostoïevski. Sombres, véhéments, paroxystiques, en un mot expressionnistes, ses romans sont des écrits de combat au même titre que ses essais. La complaisance n'est pas son fort. Il ne ménage rien ni personne, et surtout pas les tièdes. «Ô vous, qui ne connûtes jamais du monde que des couleurs et des sons sans substance, cœurs sensibles, bouches lyriques où l'âpre vérité fondrait comme une praline - petits cœurs, petites bouches - ceci n'est point pour vous» (Sous le soleil de Satan). La langue même est exigeante. Elle tire le lecteur du côté du sacré. Le sacré, le surnaturel, la grâce, le mal ne sont pas des accessoires chez Bernanos. Ils sont au centre du projet romanesque. Et pourtant - Malraux l'agnostique en témoigne -, nul besoin de partager la foi de l'auteur pour être sensible au tragique du monde déchu qu'habitent ses personnages. Nous sommes parfois devenus aveugles, c'est vrai, à des allusions scripturaires qui étaient autrefois évidentes. Mais à cet aveuglement partiel les romans de Bernanos gagnent une imprévisibilité, une étrangeté qui conduisent, une fois encore, du côté de Dostoïevski. L'œuvre nous parle différemment, mais toujours aussi fortement. Cette œuvre, l'heure est venue de la rééditer en ne négligeant rien des documents accessibles à qui sait les découvrir, et en n'hésitant pas à revenir sur des traditions éditoriales qui ont entraîné des habitudes de lecture. En 1934, une partie d'Un crime avait été refusée par Plon. On vient de retrouver le manuscrit écarté. Publié ici pour la première fois, il permet aussi d'établir un meilleur texte pour Un mauvais rêve, roman né du refus partiel d'Un crime et resté inédit du vivant de l'auteur. Autre ouvrage posthume, et célébrissime, Dialogues des carmélites : on en propose une édition qui fait clairement apparaître l'état du manuscrit laissé par Bernanos à sa mort (1948). Pour les romans publiés par l'écrivain, on est revenu aux particularités des éditions parues de son vivant, y compris pour Monsieur Ouine, jusqu'alors disponible dans une version augmentée en 1955 ; les pages ajoutées à cette date figurent désormais à leur place : en appendice - comme de nombreux autres documents, extraits de manuscrits, entretiens ou lettres. La voix qu'ils font entendre est la même que celle des romans (et des essais) ; Bernanos ne cherche pas à persuader son lecteur ou son interlocuteur : il veut le toucher. Il y parvient.",French fiction,,,1386.0,fr
272,Le problème de l'empathie /,"Stein, Edith, sainte",9782204094467; 2204094463,Editions du Carmel; Cerf; Ad solem,Edith Stein--(sainte); Empathie,272,,Agent (Philosophy),,,0.0,fr
273,Œuvres complètes /,Platon 0427?-0348? av. J.-C.,9782080426635; 208042663X,Flammarion,Platonisme.,273,,,,,0.0,fr
274,La religion gnostique : le message du Dieu étranger et les débuts du christianisme /,"Jonas, Hans",2082107108; 9782082107105,Flammarion,gnose,274,,Gnosticism,,,506.0,fr
275,Ecrits gnostiques : la bibliothèque de Nag Hammadi /,,9782070113330; 2070113337,Gallimard,bibliothèque de Nag-Hammadi; gnose--Antiquité--[document],275,"L'intégralité des textes retrouvés à Nag Hammadi en 1945 comporte douze livres reliés et plusieurs feuillets d'un treizième, soit 1.200 pages de papyrus. Cette bibliothèque gnostique rassemble des apocalypses, des Evangiles et actes apocryphes, des dialogues de révélation, des homélies, ainsi que plusieurs écrits gnomiques, ascétiques ou hermétiques.",Gnostic literature,5.0,1.0,1930.0,fr
276,L'art d'avoir toujours raison ou Dialectique éristique /,"Schopenhauer, Arthur, 1788-1860",9782842420758; 2842420756,Circé,Discussion; Éristique; Argumentation; Débats et controverses,276,"38 ficelles, tours et autres passes pour garder raison à tout prix en ayant objectivement tort ou comment terrasser son adversaire en étant de plus mauvaise foi que lui. Un court traité à l'usage de quiconque croit sincèrement aux dividendes de la pensée. Rédigé à Berlin en 1830-31, ce traité fut publié pour la première fois en 1864. Il est suivi dans la présente édition d'une postface de Franco Volpi.",Dialectic,,,119.0,fr
277,L'obsolescence de l'homme /,"Anders, Günther",9782910386146; 2910386147; 9782953625820; 2953625828,Ed Ivrea puis Ed Faro; Ed de l'Encyclopédie des nuisances,technique--* philosophie; civilisation--* philosophie; société industrielle (milieu humain)--* philosophie; Philosophie de la technique; Société industrielle--Philosophie; Civilisation--Philosophie,277,""" Tout le monde est d'une certaine manière occupé et employé comme travailleur à domicile. Un travailleur à domicile d'un genre pourtant très particulier. Car c'est en consommant la marchandise de masse - c'est-à-dire grâce à ses loisirs - qu'il accomplit sa tâche, qui consiste à se transformer lui-même en homme de masse. Alors que le travailleur à domicile classique fabriquait des produits pour s'assurer un minimum de biens de consommation et de loisirs, celui d'aujourd'hui consomme au cours de ses loisirs un maximum de produits pour, ce faisant, collaborer à la production des hommes de masse. Le processus tourne même résolument au paradoxe puisque le travailleur à domicile, au lieu d'être rémunéré pour sa collaboration, doit au contraire lui-même la payer, c'est-à-dire payer les moyens de production dont l'usage fait de lui un homme de masse (l'appareil et, le cas échéant, dans de nombreux pays, les émissions elles-mêmes). Il paie donc pour se vendre. Sa propre servitude, celle-là même qu'il contribue à produire, il doit l'acquérir en l'achetant puisqu'elle est, elle aussi, devenue une marchandise. "" "" Le monde comme fantôme et comme matrice """,,,,360.0,fr
278,Histoire du Japon médiéval : le monde à l'envers /,"Souyri, Pierre-François",9782262041892; 226204189X,Perrin,Restauration de l'ère Kemmu (Japon ; 1333-1336); Époque Muromachi (Japon ; 1336-1573); Histoire; Histoire médiévale; Époque Kamakura (Japon ; 1185-1333); Japon--Histoire--Moyen âge,278,"A travers l'ascension des samouraïs et la naissance d'une société guerrière qu'on a pu qualifier de féodale, ce livre nous plonge dans les temps troubles du Moyen Age japonais (XIIe-XVIe siècle). Pierre-François Souyri montre l'importance des conflits sociaux qui déchirèrent le pays, la poussée des classes populaires, les diversités régionales, l'émergence, enfin, de nouvelles formes culturelles à l'origine du Japon ""traditionnel"". Chemin faisant, il éclaire la dynamique d'une société fondamentalement instable que les chroniqueurs contemporains désignaient comme ""un monde à l'envers"".",Japan,,,522.0,fr
279,Le salaire de la destruction : formation et ruine de l'économie nazie /,"Tooze, J. Adam",9782251381169; 2251381163,Les Belles Lettres,Économie politique; Conditions économiques; National-socialisme; 20e siècle; Années 1930; Années 1940; Guerre mondiale (1939-1945); Allemagne,279,,,,,,
280,Comment le peuple juif fut inventé : de la Bible au sionisme /,"Sand, Shlomo",9782213637785; 2213637784,Fayard,ethnicité--histoire (discipline)--identité collective - construction--Juif; histoire (discipline)--identité nationale - construction--mythe fondateur--Israël; Juifs--Ethnicité--Histoire; Sionisme--Histoire,280,,,,,,
281,Je suis Ariel Sharon : roman /,"El-Ghadban, Yara 1976-....",9782897125684; 2897125683,Mémoire d'encrier,"Sharon, Ariel--(1928-2014).; Conflit israélo-arabe.; Coma--Patients.; Israël--Histoire--Roman.; Roman palestinien de langue française--Canada--2000-....",281,,,,,,
282,L'invention de la tradition /,,2915547203; 9782915547207,Editions Amsterdam,tradition--Europe--19e s. / 1914--[études diverses]; invention--tradition--[études diverses],282,,,,,,
283,La vie électrique : histoire et imaginaire (XVIIIe-XXIe siècle) /,"Beltran, Alain",2701189675; 9782701189673,Belin,Electrification--France--History; Électrification--France--Histoire; Technique et civilisation; Électricité--France--Histoire; Électricité--France--Aspect social,283,,,,,,
284,La grande chasse aux sorcières en Europe aux débuts des Temps modernes /,"Levack, Brian P",9782876731202; 2876731207,Champ Vallon,persécution--sorcellerie--Europe--1450 / 1750; persécution--sorcière--Europe--1450 / 1750; Sorcières--Europe--Histoire; Sorcières--Historiographie--Europe; Sorcellerie--Procès--Historiographie--Europe; Sorcellerie--Procès--Histoire--Europe,284,,,,,,
285,Seeing like a state : how certain schemes to improve the human condition have failed /,"Scott, James C., 1936-",9780300246759; 0300246757,Yale University Press,Autoritarisme; Planification--Aspect social; Ingénierie sociale; Centralisation administrative--Aspect social; Central planning--Social aspects; Social engineering; Authoritarianism,285,,,,,,
286,"Thinking, fast and slow /","Kahneman, Daniel",9780141033570; 0141033576,Penguin,Cognition; Decision making; Judgment; Pensée; Intuition; Raisonnement; Prise de décision,286,,,,,,
287,Le siècle d'Emma : une famille suisse dans les turbulences du XXe siècle /,"Burnand, Eric",9782889011827; 2889011828,Antipodes,Suisse--20e siècle; Bandes dessinées,287,,,,,,
288,La nuit de noces : une histoire de l'intimité conjugale /,"Limbada, Aïcha 1982-....",9782348073168; 2348073161,la Découverte,Sexualité; Couples; Morale sexuelle; Rites et cérémonies du mariage--France--19e siècle; Rites et cérémonies du mariage--France--20e siècle,288,,,,,,
289,Le grand vide /,"Murawiec, Léa",9782901000709; 2901000703,2024,Bandes dessinées,289,,,,,,
290,Techno-féodalisme : critique de l'économie numérique /,"Durand, Cédric",9782355221156; 2355221154,Zones,Société numérique; Monopoles; Capitalisme; Économie numérique,290,,,,,,
291,Bobigny 1972 /,"Bardiaux-Vaïente, Marie",9782344045664; 234404566X,Glénat,Année 1972; Avortement; Procès; Procès--Bobigny (Seine-Saint-Denis)--Palais de justice; Bandes dessinées,291,,,,,,
292,"De toutes les nuits, les amants : roman /","Kawakami, Mieko",9782330030223; 2330030223,Actes Sud,,292,,,,,,
293,La confiance créative : tous innovateurs avec le design thinking /,"Kelley, Tom",9782100839315; 2100839314,Dunod,Créativité dans le travail.; Design thinking.; Succès dans les affaires.; Innovation.,293,,,,,,
294,Dix petites souris /,"Thibert, Colin 1951-",9782889086153; 2889086151,La Joie de lire,Livres en carton; Chiffres; Livres d'images,294,,,,,,
295,Clic Clac Suisse /,"Knecht, Elena",9783038691501; 303869150X,Helvetiq; Bergli Books,Suisse; Livres-jeux,295,,,,,,
296,"Morts ou vifs : contribution à une écologie pratique, théorique et sensible des arts vivants /","Sermon, Julie",9782490077540; 2490077546,éditions B42,Écocritique; Arts du spectacle; Théâtre--Esthétique; Art et écologie,296,,,,,,
297,Parable of the talents /,"Butler, Octavia E., 1947-2006",0446675784; 9780446675789,Warner Books,,297,,,,,,
298,Comment bifurquer : les principes de la planification écologique /,"Durand, Cédric économiste 1975-....",9782355221910; 235522191X,Zones,Politique de l'environnement; Décroissance soutenable; Démocratie participative; Planification,298,,,,,,
299,Alberto Giacometti : la vie dans le regard /,"Barilier, Etienne, 1947-",9782889153817; 2889153819,Presses polytechniques et universitaires romandes,"Giacometti, Alberto",299,,,,,,
300,Manger intelligent : concilier le goût et la santé /,"Théraulaz, Yseult",9782889153749; 2889153746,EPFL Press,Promotion de la santé; Alimentation; Diététique; Éducation nutritionnelle; Aliments--Consommation,300,,,,,,
301,"Stress, dépression & troubles du comportement : une nouvelle approche sans produits chimiques /","Willem, Jean-Pierre",9782813205650; 2813205656,G Trédaniel,Dépression nerveuse; Stress; Troubles du comportement; Médecine naturelle; Homéopathie,301,,,,,,
302,Medical medium : la thyroïdie : [comprendre et traiter les troubles de la thyroïde] /,"William, Anthony",9782813219121; 2813219126,G Trédaniel,Glande thyroïde; Glande thyroïde--Maladies--Prévention,302,,,,,,
303,Pourquoi les méduses sont immortelles : et autres secrets de longévité de la nature /,"Brendborg, Nicklas 1997-....",9.79103E+12,Leduc,Animaux--Longévité; Plantes--Longévité; Vieillissement.; Longévité.,303,,,,,,
304,Homo numericus : la civilisation qui vient /,"Cohen, Daniel, 1953-",9782226476395; 2226476393,Albin Michel,Économie numérique--2000-....; Évolution sociale--2000-....; Changement social; Société numérique,304,,,,,,
305,Comment affronter l'adversité? : se relever après la chute /,"Brown, Brené",9782813213655; 2813213659,G Trédaniel,Réalisation de soi; Émotions; Vulnérabilité (psychologie),305,,,,,,
306,"L'intelligence du coeur : [travailler confiance en soi, créativité, relations, autonomie] /","Filliozat, Isabelle",2501139496; 9782501139496,Marabout,Émotions; Intelligence émotionnelle; Émotions.; Intelligence émotionnelle.,306,,,,,341.0,fr
307,Rajeunir ? : agir contre le vieillissement cellulaire /,"Lamour, Valérie",9782221114612; 2221114612,R Laffont,vieillissement - prévention--[guide],307,"Etre acteur de son vieillissement est le nouveau défi de l'homme et de la femme modernes. Tel est le message fort de Valérie Lamour et Marion Kaplan, qui proposent dans ce livre la diététique du rajeunissement, un ensemble de solutions concrètes et faciles à appliquer au quotidien pour ralentir le processus de dégradation cellulaire. La diététique du rajeunissement est une action préventive qui corrige les déclins et les carence ; physiques. Elle repose en grande partie sur l'alimentation vibratoire. qui proscrit les aliments morts. Si votre vitalité passe par la nourriture, elle passe également par un état d'esprit positif. empreint d'un certain détachement pour faire face aux aléas de la vie. Incluant la psychophysiologie, mais aussi la nutrigénétique. l'impact de l'air et de la lumière, ou la médecine quantique. la diététique du rajeunissement est une approche inédite qui vous permettra d'atteindre l'équilibre nutritionnel, émotionnel. hormonal et environnemental, condition fondamentale pour ajouter de la vie aux années !",,,,392.0,fr
308,L'effondrement (et après) expliqué à nos enfants… et à nos parents /,"Servigne, Pablo 1978-....",9782021466485; 2021466485,Editions du Seuil,Collapsologie; Entretiens,308,""" Papa, c'est quoi cette histoire de fin du monde ? "" Entre effondrement du vivant et effondrement possible de notre société... le mot plane comme une ombre au-dessus de notre époque. Mais de quels effondrements s'agit-il ? Peut-on en parler aux enfants sans les angoisser ? Avec quels mots ? Et aussi, pourquoi certains boomers ont-ils tant de mal à comprendre ? Mêlant arguments, expérience et affects, Pablo Servigne et Gauthier Chapelle tissent une discussion à bâtons rompus entre générations avec pour horizon la préservation des liens.",,,,0.0,fr
309,Mindhunter : dans la tête d'un profileur /,"Douglas, John Edward, 1945-",9782757872727; 2757872729,Points,Tueurs en série; Profilage criminel,309,,,,,501.0,fr
310,Où est le sens ? : les découvertes sur notre cerveau qui changent l'avenir de notre civilisation /,"Bohler, Sébastien",9782221246603; 2221246608,Robert Laffont,Changement global de l'environnement--Psychologie; Cortex cérébral; Comportement humain; Cerveau; Neurosciences; Changement social; Psychophysiologie; Signification (psychologie); Vie,310,,,,,379.0,fr
311,Tout comprendre (ou presque) sur le climat /,"Wagner, Thomas blogueur spécialiste des questions climatiques 1986-....",9782271139771; 2271139775,CNRS,Vulgarisation scientifique; Climatoscepticisme--Lutte contre; Changements climatiques; Livres documentaires,311,,,,,135.0,en
312,Tempête dans le bocal : la nouvelle civilisation du poisson rouge /,"Patino, Bruno",9782246828969; 2246828961,Bernard Grasset,Société numérique; Technologies de l'information et de la communication--Aspect social; Changement social; Dépendance à Internet,312,"Nous avons quitté le poisson rouge dans son bocal numérique : parfaitement libre, ouvert à tout, mais incapable de grandir, en difficulté pour se concentrer plus de 8 secondes, épuisé par le temps qui file et par les sollicitations infinies. Et travaillé par les algorithmes... Et nous l'y retrouvons, après une expérience mondiale inédite : un poisson rouge confiné, sauvé par sa capacité technique à échanger, travailler, regarder, garder le contact, se divertir... et découvrant, en accéléré, sa prison numérique - libre de tout connaître mais perdant le désir ; parlant à tous et chacun, mais avide de rencontres véritables ; le dos tassé, les yeux rougis, continuant la vie avec un léger sentiment de vide et d'attente.... Impossible de rembobiner, comme dans un film américain : à nous de faire avec cette nouvelle civilisation, qui nous a emportés et transformés en vingt ans. Déconnecter est un leurre : mais lutter avec souplesse ; transformer nos façons de faire, de connaître, d'aimer ; se chercher des rites ; réformer notre langage ; déjouer l'Intelligence artificielle ; et surtout, se créer une plage de temps à soi, chambre virtuelle, mains vides, regards vers le ciels : telles sont les leçons et pistes possibles de cet essai bref, incisif, majeur. D'une méditation sur le temps à un souvenir de wifi en panne, d'un petit déjeuner avec Zuckerberg à une méditation sur les stages de déconnexion durs du patron de Twitter, d'une addiction personnelle à une promenade en forêt sans écran.... Libérez-vous. Renaissez. Petit poisson rouge deviendra grand... Deux ans après l'immense succès de La civilisation du Poisson rouge, Bruno Patino poursuit son travail de recherche, le déploie et l'approfondit : que chacun puisse se trouver une voie libre et apaisée.",Information society,,,184.0,fr
313,La fin de l'individu : voyage d'un philosophe au pays de l'intelligence artificielle /,"Koenig, Gaspard",9.79103E+12,Ed de L'Observatoire,Intelligence artificielle--Philosophie,313,,,,,,
314,La thérapie des schémas en pratique : principes et outils /,"Jacob, Gitta",9782807331228; 280733122X,De Boeck Supérieur,Thérapie des schémas; Thérapie cognitive,314,,,,,271.0,fr
315,Hunger games /,"Collins, Suzanne",9782266257220; 2266257226; 9782266257237; 2266257234; 9782266257244; 2266257242; 9782266305754; 2266305751,Pocket jeunesse,,315,"Dans un futur sombre, sur les ruines des Etats-Unis, un jeu télévisé est créé pour contrôler le peuple par la terreur. Douze garçons et douze filles tirés au sort participent à cette sinistre téléréalité, que tout le monde est forcé de regarder en direct. Une seule règle dans l'arène : survivre, à tout prix. Quand sa petite soeur est appelée pour participer aux Hunger Games, Katniss n'hésite pas une seconde. Elle prend sa place, consciente du danger. A seize ans, Katniss a déjà été confrontée plusieurs fois à la mort. Chez elle, survivre est comme une seconde nature...",,,,400.0,fr
316,L'univers de la psychologie /,,9782761353120; 2761353129,ERPI,Psychologie; Conscience; Sémantique--Aspect psychologique; Perception; Manuels d'enseignement,316,,,,,,
317,"Parler pour être écouté : développer sa présence, maintenir l'attention, faciliter la compréhension /","Taïeb, Michèle",9782416010927; 2416010921,Eyrolles,,317,,,,,0.0,fr
318,Méthodes statistiques en sciences humaines /,"Howell, David C",9782804156855; 2804156850,De Boeck Supérieur,Sciences humaines--Méthodologie; Humanities; Statistics; Statistiques,318,"Conçu pour les étudiants non spécialisés en mathématiques, cet ouvrage vise à fournir une compréhension conceptuelle maximale de l'ensemble des techniques statistiques communément utilisées en sciences sociales et dans les sciences du comportement. Il allie un ton engageant à la rigueur scientifique. Ses autres atouts sont la place importante accordée aux techniques descriptives, le recours fréquent à des exemples concrets permettant de souligner les liens entre les questions de recherche et les tests statistiques et la présence de nombreux exercices corrigés. Par ses qualités, cet ouvrage s'impose comme une source de référence indispensable tant pendant qu'après le cursus universitaire.",Social Science,,,784.0,fr
319,Bien dans mon ventre en 32 jours : le plan d'action en 3 étapes contre les troubles digestifs /,"Casamayou, Annie",9782940703425; 2940703426,Editions Nouvelle Page,Guides pratiques; Maladies de l'appareil digestif; Alimentation,319,,,,,0.0,fr
320,Le livre rouge : Liber novus /,"Jung, Carl Gustav",9782352042082; 2352042089,L'Iconoclaste/La compagnie du livre rouge,,320,"Le texte peut être désormais lu pour lui-même : un voyage intérieur et la matrice de l'œuvre de Jung, gardée secrète toute sa vie. Pour l'auteur de L'homme et ses symboles, la psychologie doit apprendre de la mythologie et de la religion. Il a l'intuition qu'il existe une strate profonde de l'inconscient, qui dépasse notre propre personne. Jung part à la recherche de son âme. Le Livre Rouge montre comment chacun peut essayer de transformer la plomb de sa nature en or spirituel. L'automne dernier, la parution du Livre Rouge a été un événement en librairie.",Jungian psychology,,,650.0,fr
321,InDesign CC : débutants et initiés /,"Audouin, Victor",2416002627; 9782416002625,Editions Eyrolles,Adobe InDesign logiciel; Publication assistée par ordinateur; Guides pratiques,321,"InDesign CC en 48 recettes. Créer un modèle de page, corriger un document en ligne, concevoir un index, ajouter un hyperlien, modifier automatiquement une mise en page, réaliser un ebook... Vous n'imaginez pas tout ce dont est capable InDesign, l'incontournable logiciel de mise en page d'Adobe qui offre de nombreux services de partage. Cet ouvrage 100 % pratique va vous le montrer avec ses 48 ateliers simples et efficaces pour PC et Mac, dans lesquels vous découvrirez les principales fonctionnalités du logiciel comme ses toutes dernières nouveautés. Véritables pas à pas complets, illustrant chaque étape par une capture d'écran, ces ateliers portent sur des supports très variés : magazine, flyer, livre, couverture, faire-part... Afin que vous puissiez tester par vous-même toutes les manipulations décrites, vous trouverez sur... [le site de l'éditeur] les fichiers initiaux et finaux des 48 ateliers, ainsi que l'ensemble des captures d'écran de l'ouvrage, sur lesquelles vous pourrez zoomer pour en connaître tous les détails. À qui s'adresse ce livre ? Aux débutants qui veulent aller à l'essentiel d'InDesign. Aux graphistes et maquettistes souhaitant maîtriser InDesign (notamment les publications interactives)",Desktop publishing,,,134.0,fr
322,À l'aube de nouveaux horizons /,"Cabrol, Nathalie A. 1963-....",2021511553; 9782021511550,Éditions du Seuil,Vie extraterrestre; Exobiologie; Voyages interplanétaires,322,,Astronomy,,,0.0,fr
323,Le mage du Kremlin : roman /,"Da Empoli, Giuliano, 1973-",9782072958168; 2072958164,Gallimard,Russie; Roman suisse de langue française; [Roman biographique],323,"On l'appelait le « mage du Kremlin ». L'énigmatique Vadim Baranov fut metteur en scène puis producteur d'émissions de télé-réalité avant de devenir l'éminence grise de Poutine, dit le Tsar. Après sa démission du poste de conseiller politique, les légendes sur son compte se multiplient, sans que nul puisse démêler le faux du vrai. Jusqu'à ce que, une nuit, il confie son histoire au narrateur de ce livre... Ce récit nous plonge au cœur du pouvoir russe, où courtisans et oligarques se livrent une guerre de tous les instants. Et où Vadim, devenu le principal spin doctor du régime, transforme un pays entier en un théâtre politique, où il n'est d'autre réalité que l'accomplissement des souhaits du Tsar. Mais Vadim n'est pas un ambitieux comme les autres : entraîné dans les arcanes de plus en plus sombres du système qu'il a contribué à construire, ce poète égaré parmi les loups fera tout pour s'en sortir. De la guerre en Tchétchénie à la crise ukrainienne, en passant par les Jeux olympiques de Sotchi, ""Le mage du Kremlin"" est le grand roman de la Russie contemporaine. Dévoilant les dessous de l'ère Poutine, il offre une sublime méditation sur le pouvoir. D'origine italienne et suisse, Giuliano da Empoli est essayiste et conseiller politique. Son dernier livre, ""Les ingénieurs du chaos"", consacré aux nouveaux maîtres de la propagande politique, a été traduit en douze langues. ""Le mage du Kremlin"" est son premier roman.",Manipulative behavior,,,0.0,fr
