,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
685,Quand tu écouteras cette chanson /,"Lafon, Lola",2234092477; 9782234092471,Stock,,685,Quand tu écouteras cette chanson,,lafon lola,Quand tu écouteras cette chanson lafon lola 
686,L'épouse /,"Subilia, Anne-Sophie",9782889070251; 2889070255,Zoé,Littérature suisse de langue française; Roman,686,L'épouse,littérature suisse langue française roman,subilia anne-sophie,L'épouse subilia anne-sophie littérature suisse langue française roman
687,Vivre vite /,"Giraud, Brigitte, 1960-",9782080207340; 2080207342,Flammarion,Roman français; Roman biographique,687,Vivre vite,roman français biographique,giraud brigitte -,Vivre vite giraud brigitte - roman français biographique
688,Éduquer en anthropocène /,,235687674X; 9782356876744,Le Bord de l'eau,Écologie humaine; Anthropocène; Environnement--Étude et enseignement; Éducation au développement durable,688,Éduquer en anthropocène,écologie humaine anthropocène environnement--étude enseignement éducation développement durable,,Éduquer en anthropocène  écologie humaine anthropocène environnement--étude enseignement éducation développement durable
689,Psychologie du sentiment d'injustice : comprendre et traiter la souffrance /,"Trybou, Vincent",9782702921241; 2702921248,Le Courrier du livre,Justice--Psychologie; Discours intérieur--Psychologie,689,Psychologie du sentiment d'injustice : comprendre et traiter la souffrance,justice--psychologie discours intérieur--psychologie,trybou vincent,Psychologie du sentiment d'injustice : comprendre et traiter la souffrance trybou vincent justice--psychologie discours intérieur--psychologie
690,Crète,,9782067255890; 2067255894,Michelin,Crète (Grèce); Guides touristiques et de visite,690,Crè,crète grèce guides touristiques visite,,Crè  crète grèce guides touristiques visite
691,Oeuvres /,"Camus, Albert",9782070140855; 2070140857,Gallimard,"Camus, Albert; [Anthologies]",691,Oeuvres,camus albert anthologies,camus albert,Oeuvres camus albert camus albert anthologies
692,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française /,,9782321012443; 2321012447,Le Robert,,692,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française,,,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française  
693,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française /,,9782321017639; 2321017635,Le Robert,Français (langue); Dictionnaires,693,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française,français langue dictionnaires,,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française  français langue dictionnaires
694,Pourquoi la guerre ? /,"Gros, Frédéric",222647871X; 9782226478719,Albin Michel,Guerre--Philosophie,694,Pourquoi la guerre ?,guerre--philosophie,gros frédéric,Pourquoi la guerre ? gros frédéric guerre--philosophie
695,"À la folie, passionnément /","Chaillan, Marianne",9782382844977; 2382844973,Équateurs,Amour--Philosophie,695,"À la folie, passionnément",amour--philosophie,chaillan marianne,"À la folie, passionnément chaillan marianne amour--philosophie"
696,Pascal /,"Petit, Thomas",9782340077997; 2340077990,Ellipses,"Pascal, Blaise; Biographie",696,Pascal,pascal blaise biographie,petit thomas,Pascal petit thomas pascal blaise biographie
697,La danse : philosophie du corps en mouvement /,"Lacroix, Alexandre",9782370734730; 2370734736,Allary éditions,Danse--Philosophie; Récits personnels,697,La danse : philosophie du corps en mouvement,danse--philosophie récits personnels,lacroix alexandre,La danse : philosophie du corps en mouvement lacroix alexandre danse--philosophie récits personnels
698,Puissance de la douceur /,"Dufourmantelle, Anne",9782228909648; 2228909645,Payot & Rivages,Bonté; Tendresse,698,Puissance de la douceur,bonté tendresse,dufourmantelle anne,Puissance de la douceur dufourmantelle anne bonté tendresse
699,L'intelligence animale : cervelle d'oiseaux et mémoire d'éléphants /,"Pouydebat, Emmanuelle",9782738135155; 2738135153,O Jacob,Animaux--Intelligence; Animaux--Adaptation,699,L'intelligence animale : cervelle d'oiseaux et mémoire d'éléphants,animaux--intelligence animaux--adaptation,pouydebat emmanuelle,L'intelligence animale : cervelle d'oiseaux et mémoire d'éléphants pouydebat emmanuelle animaux--intelligence animaux--adaptation
700,La condition ouvrière /,"Weil, Simone 1909-1943",9782824913971; 2824913975,Impr Corlet; la République des lettres,Classe ouvrière--1900-1945.; Récits personnels.,700,La condition ouvrière,classe ouvrière--- récits personnels,weil simone -,La condition ouvrière weil simone - classe ouvrière--- récits personnels
701,La pesanteur et la grâce /,"Weil, Simone",9782259277952; 2259277950,Plon,"Weil, Simone--Oeuvres--Écrits",701,La pesanteur et la grâce,weil simone--oeuvres--écrits,weil simone,La pesanteur et la grâce weil simone weil simone--oeuvres--écrits
702,Mes plus belles rencontres animales /,"Pouydebat, Emmanuelle",9782415006907; 2415006904,Odile Jacob,Comportement animal; Animaux--Intelligence; Relations homme-animal; Récits personnels,702,Mes plus belles rencontres animales,comportement animal animaux--intelligence relations homme-animal récits personnels,pouydebat emmanuelle,Mes plus belles rencontres animales pouydebat emmanuelle comportement animal animaux--intelligence relations homme-animal récits personnels
703,Trouble dans le genre : (gender trouble) : pour un féminisme de la subversion /,"Butler, Judith, 1956-",9782707142375; 2707142379,La Découverte,féminisme--identité sexuelle--subversion; féminisme--féminité--identité--sexe (genre) - différence,703,Trouble dans le genre : (gender trouble) : pour un féminisme de la subversion,féminisme--identité sexuelle--subversion féminisme--féminité--identité--sexe genre - différence,butler judith -,Trouble dans le genre : (gender trouble) : pour un féminisme de la subversion butler judith - féminisme--identité sexuelle--subversion féminisme--féminité--identité--sexe genre - différence
704,Infocratie : numérique et crise de la démocratie /,"Han, Byung-Chul 1959-....",9782130837893; 2130837891,PUF,,704,Infocratie : numérique et crise de la démocratie,,han byung-chul -,Infocratie : numérique et crise de la démocratie han byung-chul - 
705,Résonance : une sociologie de la relation au monde /,"Rosa, Hartmut",9782707193162; 270719316X,La Découverte,Relation (philosophie); Individu et société; Qualité de la vie,705,Résonance : une sociologie de la relation au monde,relation philosophie individu société qualité vie,rosa hartmut,Résonance : une sociologie de la relation au monde rosa hartmut relation philosophie individu société qualité vie
706,Continuer : [roman] /,"Mauvignier, Laurent",9782707329837; 2707329835,Ed de Minuit,Mères et fils,706,Continuer : [roman],mères fils,mauvignier laurent,Continuer : [roman] mauvignier laurent mères fils
707,Une voix différente : la morale a-t-elle un sexe ? /,"Gilligan, Carol",2081479389; 9782081479388,Flammarion,Théorie du care; Développement moral; Relations hommes-femmes; Femmes--Psychologie; Éthique féministe,707,Une voix différente : la morale a-t-elle un sexe ?,théorie care développement moral relations hommes-femmes femmes--psychologie éthique féministe,gilligan carol,Une voix différente : la morale a-t-elle un sexe ? gilligan carol théorie care développement moral relations hommes-femmes femmes--psychologie éthique féministe
708,L'attachement en questions /,"Pierrehumbert, Blaise",9782738152251; 2738152252,Odile Jacob,Attachement,708,L'attachement en questions,attachement,pierrehumbert blaise,L'attachement en questions pierrehumbert blaise attachement
709,Esthétique et philosophie de l'art : repères historiques et thématiques /,,9782804185206; 2804185206,De Boeck,Philosophie et art--Histoire; Art--Philosophie--Histoire; Esthétique--Histoire; Esthétique; Art,709,Esthétique et philosophie de l'art : repères historiques et thématiques,philosophie art--histoire art--philosophie--histoire esthétique--histoire esthétique art,,Esthétique et philosophie de l'art : repères historiques et thématiques  philosophie art--histoire art--philosophie--histoire esthétique--histoire esthétique art
710,Théorie esthétique /,"Adorno, Theodor Wiesengrund",2252034912; 9782252034910,Klincksieck,esthétique; art--esthétique,710,Théorie esthétique,esthétique art--esthétique,adorno theodor wiesengrund,Théorie esthétique adorno theodor wiesengrund esthétique art--esthétique
711,La société de la fatigue : [essai] /,"Han, Byung-Chul",9782842423568; 2842423569,Circé,,711,La société de la fatigue : [essai],,han byung-chul,La société de la fatigue : [essai] han byung-chul 
712,Des hommes : [roman] /,"Mauvignier, Laurent",9782707320759; 2707320757,Ed de Minuit,,712,Des hommes : [roman],,mauvignier laurent,Des hommes : [roman] mauvignier laurent 
713,Percy Jackson /,"Riordan, Rick",9782019109950; 2019109956; 9782019109967; 2019109964; 9782019109974; 2019109972; 9782019109981; 2019109980; 9782019109998; 2019109999; 9782011825100; 2011825105; 9782017010005; 2017010006,Librairie générale française,Mythologie grecque; Roman pour la jeunesse,713,Percy Jackson,mythologie grecque roman jeunesse,riordan rick,Percy Jackson riordan rick mythologie grecque roman jeunesse
714,Circé /,"Miller, Madeline",9782266278638; 2266278630,Éditions Rue JRomentin,Circé--(personnage mythologique); Mythologie grecque,714,Circé,circé--personnage mythologique mythologie grecque,miller madeline,Circé miller madeline circé--personnage mythologique mythologie grecque
715,Sapiens /,"Harari, Yuval Noah 1976-....",9782226448453; 2226448454; 9782226457622; 2226457623; 9782226477620; 2226477624,Albin Michel,Histoire universelle; Civilisation--Histoire; Bandes dessinées,715,Sapiens,histoire universelle civilisation--histoire bandes dessinées,harari yuval noah -,Sapiens harari yuval noah - histoire universelle civilisation--histoire bandes dessinées
716,Qu'est-ce que la philosophie antique ? /,"Hadot, Pierre",9782070327607; 2070327604,Gallimard,Philosophie antique; Philosophie--Histoire,716,Qu'est-ce que la philosophie antique ?,philosophie antique philosophie--histoire,hadot pierre,Qu'est-ce que la philosophie antique ? hadot pierre philosophie antique philosophie--histoire
717,La philosophie comme thérapie de l'âme : études de philosophie hellénistique /,"Voelke, André-Jean",2827106329; 9782827106325; 2204047864; 9782204047869,Impr Saint-Paul; Ed du Cerf; Ed Universitaires,âme--philosophie--époque hellénistique; bonheur--morale--philosophie grecque antique--époque hellénistique,717,La philosophie comme thérapie de l'âme : études de philosophie hellénistique,âme--philosophie--époque hellénistique bonheur--morale--philosophie grecque antique--époque,voelke andré-jean,La philosophie comme thérapie de l'âme : études de philosophie hellénistique voelke andré-jean âme--philosophie--époque hellénistique bonheur--morale--philosophie grecque antique--époque
718,English historical syntax : verbal constructions /,"Denison, David",0582216206; 9780582216204; 0582291399; 9780582291393,Longman,anglais (langue)--syntagme verbal--syntaxe historique,718,English historical syntax : verbal constructions,anglais langue--syntagme verbal--syntaxe historique,denison david,English historical syntax : verbal constructions denison david anglais langue--syntagme verbal--syntaxe historique
719,Corpus approaches to grammaticalization in English /,,9027222843; 9789027222848,J Benjamins,anglais (langue)--grammaticalisation--* linguistique de corpus--[congrès],719,Corpus approaches to grammaticalization in English,anglais langue--grammaticalisation-- linguistique corpus--congrès,,Corpus approaches to grammaticalization in English  anglais langue--grammaticalisation-- linguistique corpus--congrès
720,The English language : a historical introduction /,"Barber, Charles",0521785707; 9780521785709,Cambridge Univ Press,anglais (langue)--origines / 20e s.,720,The English language : a historical introduction,anglais langue--origines e s,barber charles,The English language : a historical introduction barber charles anglais langue--origines e s
721,Late modern English : novel encounters /,,9789027205087; 9027205086,John Benjamins Publishing Company,1700-1999; Anglais (langue)--18e siècle; English language; English language--18th century--Congresses.; English language--19th century--Congresses.; English language--20th century--Congresses.; Actes de congrès; Conference papers and proceedings,721,Late modern English : novel encounters,- anglais langue--e siècle english language language--th century--congresses actes congrès conference papers and proceedings,,Late modern English : novel encounters  - anglais langue--e siècle english language language--th century--congresses actes congrès conference papers and proceedings
722,Le jour où j'ai réalisé que la personne toxique c'était moi /,"Berrou, Christine",9782412070253; 2412070253,First Éditions,Relations humaines; Récits personnels,722,Le jour où j'ai réalisé que la personne toxique c'était moi,relations humaines récits personnels,berrou christine,Le jour où j'ai réalisé que la personne toxique c'était moi berrou christine relations humaines récits personnels
723,L'hiver de notre mécontentement : roman /,"Steinbeck, John",2730400893; 9782730400893,Nouvelles éd Oswald,,723,L'hiver de notre mécontentement : roman,,steinbeck john,L'hiver de notre mécontentement : roman steinbeck john 
724,"Les 5 blessures qui empêchent d'être soi-même : rejet, abandon, injustice, trahison, humiliation /","Bourbeau, Lise",2920932187; 9782920932180,Ed ETC,développement personnel; Souffrance; Réalisation de soi,724,"Les 5 blessures qui empêchent d'être soi-même : rejet, abandon, injustice, trahison, humiliation",développement personnel souffrance réalisation,bourbeau lise,"Les 5 blessures qui empêchent d'être soi-même : rejet, abandon, injustice, trahison, humiliation bourbeau lise développement personnel souffrance réalisation"
725,Daisy Jones & The Six /,"Reid, Taylor Jenkins 1983-....",1984817795; 9781984817792,Ballantine books,,725,Daisy Jones & The Six,,reid taylor jenkins -,Daisy Jones & The Six reid taylor jenkins - 
726,Le petit Robert : dictionnaire alphabétique et analogique de la langue française /,,9782321017639; 2321017635,Le Robert,Français (langue); Encyclopédies et dictionnaires français; Dictionnaires,726,Le petit Robert : dictionnaire alphabétique et analogique de la langue française,français langue encyclopédies dictionnaires,,Le petit Robert : dictionnaire alphabétique et analogique de la langue française  français langue encyclopédies dictionnaires
727,L'empire cybernétique : des machines à penser à la pensée machine : essai /,"Lafontaine, Céline",2020561700; 9782020561709,Ed du Seuil,cybernétique - influence exercée--société (milieu humain); cybernétique--post-moderne,727,L'empire cybernétique : des machines à penser à la pensée machine : essai,cybernétique - influence exercée--société milieu humain cybernétique--post-moderne,lafontaine céline,L'empire cybernétique : des machines à penser à la pensée machine : essai lafontaine céline cybernétique - influence exercée--société milieu humain cybernétique--post-moderne
728,"La semaine de 4 heures : travaillez moins, gagnez plus et vivez mieux ! /","Ferriss, Timothy",9782744064173; 2744064173,Pearson Education,Efficacité de l'organisation; Organisation du travail--Budgets temps; qualité de la vie--travail; gestion du temps--travail--[manuel],728,"La semaine de 4 heures : travaillez moins, gagnez plus et vivez mieux !",efficacité lorganisation organisation travail--budgets temps qualité vie--travail gestion temps--travail--manuel,ferriss timothy,"La semaine de 4 heures : travaillez moins, gagnez plus et vivez mieux ! ferriss timothy efficacité lorganisation organisation travail--budgets temps qualité vie--travail gestion temps--travail--manuel"
729,Pensées pour soi /,"Aurelius Antoninus, Marcus",2081375125; 9782081375123,Flammarion,,729,Pensées pour soi,,aurelius antoninus marcus,Pensées pour soi aurelius antoninus marcus 
730,Comment être parfait : les réponses aux questions éthiques que vous vous posez (et aux autres) /,"Schur, Michael",9782900818237; 2900818230,Philosophie magazine éditeur,Morale,730,Comment être parfait : les réponses aux questions éthiques que vous vous posez (et aux autres),morale,schur michael,Comment être parfait : les réponses aux questions éthiques que vous vous posez (et aux autres) schur michael morale
731,Psychopathologie : une approche intégrative /,"Barlow, David H",9782807302532; 280730253X,De Boeck supérieur,Psychopathologie; [Manuels d'enseignement supérieur],731,Psychopathologie : une approche intégrative,psychopathologie manuels denseignement supérieur,barlow david h,Psychopathologie : une approche intégrative barlow david h psychopathologie manuels denseignement supérieur
732,Politiser le bien-être /,"Teste, Camille 19..-....",9782491260156; 2491260158,Binge Audio éditions,Bien-être--Participation politique.,732,Politiser le bien-être,bien-être--participation politique,teste camille -,Politiser le bien-être teste camille - bien-être--participation politique
733,L'homme qui prenait sa femme pour un chapeau : et autres récits cliniques /,"Sacks, Oliver W., 1933-2015",9782757840214; 2757840215,Points,Mental Disorders; Mentally Ill Persons; Neuropsychiatry; Case Reports; Popular Work,733,L'homme qui prenait sa femme pour un chapeau : et autres récits cliniques,mental disorders mentally ill persons neuropsychiatry case reports popular work,sacks oliver w -,L'homme qui prenait sa femme pour un chapeau : et autres récits cliniques sacks oliver w - mental disorders mentally ill persons neuropsychiatry case reports popular work
734,Voyage au bout de l'enfance : roman /,"Benzine, Rachid",2021495590; 9782021495591,Éditions du Seuil,Roman français,734,Voyage au bout de l'enfance : roman,roman français,benzine rachid,Voyage au bout de l'enfance : roman benzine rachid roman français
735,Voyager : récits /,"Banks, Russell, 1940-2023",9782330078201; 233007820X,Actes sud,,735,Voyager : récits,,banks russell -,Voyager : récits banks russell - 
736,"Oh, Canada /","Banks, Russell, 1940-2023",9782330168025; 2330168020,Actes Sud,Roman américain,736,"Oh, Canada",roman américain,banks russell -,"Oh, Canada banks russell - roman américain"
737,Histoire du fils /,"Lafon, Marie-Hélène",9782072935695; 2072935695,Gallimard,,737,Histoire du fils,,lafon marie-hélène,Histoire du fils lafon marie-hélène 
738,L'usage du thé : une histoire sensible du bout du monde /,"Azema, Lucie",9782080264565; 2080264567,Flammarion,Thé--Histoire,738,L'usage du thé : une histoire sensible du bout du monde,thé--histoire,azema lucie,L'usage du thé : une histoire sensible du bout du monde azema lucie thé--histoire
739,L'attaque des Titans : édition colossale /,"Isayama, Hajime",9782811623258; 2811623256; 9782811625788; 281162578X; 9782811630430; 2811630430; 9782811632489; 2811632484; 9782811633936; 2811633936; 9782811635923; 2811635920; 9782811637903; 2811637907; 9782811643867; 2811643869; 9782811651008; 2811651004; 978281165736,Pika,Mangas,739,L'attaque des Titans : édition colossale,mangas,isayama hajime,L'attaque des Titans : édition colossale isayama hajime mangas
740,Monster /,"Urasawa, Naoki",9782505009993; 2505009996; 9782505010005; 2505010005; 9782505010593; 2505010595; 9782505010968; 250501096X; 9782505012139; 250501213X; 9782505012641; 2505012644; 9782505013983; 2505013985; 9782505014928; 2505014922; 9782505015260; 2505015260,Big kana,Mangas; Bandes dessinées,740,Monster,mangas bandes dessinées,urasawa naoki,Monster urasawa naoki mangas bandes dessinées
741,"L'air était tout en feu, ou, La conjuration de Cellemare (1718) : roman /","Pascal, Camille",9782221263709; 2221263707,Robert Laffont,,741,"L'air était tout en feu, ou, La conjuration de Cellemare (1718) : roman",,pascal camille,"L'air était tout en feu, ou, La conjuration de Cellemare (1718) : roman pascal camille "
742,La Synagogue /,"Sfar, Joann",9782205203356; 2205203355,Dargaud,Bandes dessinées,742,La Synagogue,bandes dessinées,sfar joann,La Synagogue sfar joann bandes dessinées
743,La Bible pour les chats /,"Sfar, Joann",9782205089110; 2205089110,Dargaud,Juifs; Bandes dessinées,743,La Bible pour les chats,juifs bandes dessinées,sfar joann,La Bible pour les chats sfar joann juifs bandes dessinées
744,« Arrête avec tes mensonges » : roman /,"Besson, Philippe",9782260029885; 2260029884,Julliard,Roman français; Homosexualité; Roman,744,« Arrête avec tes mensonges » : roman,roman français homosexualité,besson philippe,« Arrête avec tes mensonges » : roman besson philippe roman français homosexualité
745,Au nom du feu : roman /,"Béguin, Pierre, 1953-",9782882414892; 2882414897,Bernard Campiche Editeur,,745,Au nom du feu : roman,,béguin pierre -,Au nom du feu : roman béguin pierre - 
746,Le petit frère /,"Tripp, Jean-Louis 1958-....",9782203228641; 2203228644,Casterman,Sibling Relations; Child Mortality; Bereavement; Guilt; Graphic Novel; Deuil; Enfants--Mort; Bandes dessinées,746,Le petit frère,sibling relations child mortality bereavement guilt graphic novel deuil enfants--mort bandes dessinées,tripp jean-louis -,Le petit frère tripp jean-louis - sibling relations child mortality bereavement guilt graphic novel deuil enfants--mort bandes dessinées
747,King Kasaï /,"Boltanski, Christophe, 1962-",9782234091337; 2234091330,Stock,Roman biographique; Musée royal de l'Afrique centrale (Tervuren); Récits personnels,747,King Kasaï,roman biographique musée royal lafrique centrale tervuren récits personnels,boltanski christophe -,King Kasaï boltanski christophe - roman biographique musée royal lafrique centrale tervuren récits personnels
748,Le bureau d'éclaircissement des destins : roman /,"Nohant, Gaëlle, 1973-",9782246828860; 2246828864,Bernard Grasset,Roman français; Roman historique,748,Le bureau d'éclaircissement des destins : roman,roman français historique,nohant gaëlle -,Le bureau d'éclaircissement des destins : roman nohant gaëlle - roman français historique
749,L'automne est la dernière saison /,"Marʻashī, Nasīm, 1984-",9.79104E+12,Editions Zulma,Roman persan--2000-....,749,L'automne est la dernière saison,roman persan---,marʻashī nasīm -,L'automne est la dernière saison marʻashī nasīm - roman persan---
750,Cette autre vie /,"Köhler, Hannes 1982-....",9782330173890; 233017389X,Actes sud,Roman allemand.,750,Cette autre vie,roman allemand,köhler hannes -,Cette autre vie köhler hannes - roman allemand
751,Mon traître : roman /,"Chalandon, Sorj",9782246726111; 2246726115,B Grasset,Roman autobiographique; Irlande du Nord (GB)--1969-1998 (Conflit d'Irlande du Nord),751,Mon traître : roman,roman autobiographique irlande nord gb--- conflit dirlande,chalandon sorj,Mon traître : roman chalandon sorj roman autobiographique irlande nord gb--- conflit dirlande
752,Le Glorieux et le Maudit : Jean Cocteau - Jean Desbordes : deux destins : roman /,"Charneux, Olivier",9782021514216; 2021514218,Seuil,,752,Le Glorieux et le Maudit : Jean Cocteau - Jean Desbordes : deux destins : roman,,charneux olivier,Le Glorieux et le Maudit : Jean Cocteau - Jean Desbordes : deux destins : roman charneux olivier 
753,La carte postale : roman /,"Berest, Anne",9782246820499; 2246820499,Bernard Grasset,Guerre mondiale (1939-1945)--Juifs; Roman familial (littérature); Roman français,753,La carte postale : roman,guerre mondiale ---juifs roman familial littérature français,berest anne,La carte postale : roman berest anne guerre mondiale ---juifs roman familial littérature français
754,"Sept écrivains célèbres en Valais : sur les pas de J.R.R. Tolkien, Katherine Mansfield, Marguerite Yourcenar, James Baldwin, Daphné du Maurier, Jean Giono, Georges Simenon /","Glutz-Ruedin, Brigitte",9782883411685; 2883411689,Ed Monographic,écrivain--voyageur--Valais (Suisse)--20e s.; écrivain--tourisme--Valais (Suisse)--20e s.,754,"Sept écrivains célèbres en Valais : sur les pas de J.R.R. Tolkien, Katherine Mansfield, Marguerite Yourcenar, James Baldwin, Daphné du Maurier, Jean Giono, Georges Simenon",écrivain--voyageur--valais suisse--e s écrivain--tourisme--valais,glutz-ruedin brigitte,"Sept écrivains célèbres en Valais : sur les pas de J.R.R. Tolkien, Katherine Mansfield, Marguerite Yourcenar, James Baldwin, Daphné du Maurier, Jean Giono, Georges Simenon glutz-ruedin brigitte écrivain--voyageur--valais suisse--e s écrivain--tourisme--valais"
755,"Paris, capitale du XIXe siècle : le livre des passages /","Benjamin, Walter",2204031577; 9782204031578,Ed du Cerf,civilisation--Europe--19e s.; Paris (France)--19e s.--[document],755,"Paris, capitale du XIXe siècle : le livre des passages",civilisation--europe--e s paris france--e s--document,benjamin walter,"Paris, capitale du XIXe siècle : le livre des passages benjamin walter civilisation--europe--e s paris france--e s--document"
756,René-e aux bois dormants /,"Usdin, Elène, 1971-",9782377316984; 2377316980,Éditions Sarbacane,Bandes dessinées,756,René-e aux bois dormants,bandes dessinées,usdin elène -,René-e aux bois dormants usdin elène - bandes dessinées
757,Tsunami : roman /,"Dugain, Marc",9782226478108; 2226478108,Albin Michel,France--Présidents--2000-....; Roman français,757,Tsunami : roman,france--présidents--- roman français,dugain marc,Tsunami : roman dugain marc france--présidents--- roman français
758,Jour de courage : roman /,"Giraud, Brigitte, 1960-",9782081469778; 2081469774,Flammarion,,758,Jour de courage : roman,,giraud brigitte -,Jour de courage : roman giraud brigitte - 
759,La zone d'intérêt : roman /,"Amis, Martin 1949-2023",9782702157275; 2702157270,Calmann-Lévy,Roman historique anglais,759,La zone d'intérêt : roman,roman historique anglais,amis martin -,La zone d'intérêt : roman amis martin - roman historique anglais
760,Le passager /,"McCarthy, Cormac 1933-2023",9782823619676; 2823619674,Editions de l'Olivier,Roman américain,760,Le passager,roman américain,mccarthy cormac -,Le passager mccarthy cormac - roman américain
761,Avalanche : roman /,"Raphael, 1975-",9782072991356; 2072991358,Gallimard,,761,Avalanche : roman,,raphael -,Avalanche : roman raphael - 
762,"Mensonges en perspective : les images après ""La Pêche miraculeuse"" de Konrad Witz /","Wolf, Laurent 1944-....",9782832111628; 2832111629,Editions Slatkine,"Witz, Konrad; Image (philosophie)",762,"Mensonges en perspective : les images après ""La Pêche miraculeuse"" de Konrad Witz",witz konrad image philosophie,wolf laurent -,"Mensonges en perspective : les images après ""La Pêche miraculeuse"" de Konrad Witz wolf laurent - witz konrad image philosophie"
763,Absolutely nothing : histoires et disparitions dans les déserts américains /,"Vasta, Giorgio, 1970-",9782378560782; 2378560788,Verdier,"Descriptions et voyages; Villes disparues, en ruine, etc.--États-Unis--sud-ouest--2000-....",763,Absolutely nothing : histoires et disparitions dans les déserts américains,descriptions voyages villes disparues ruine etc--états-unis--sud-ouest---,vasta giorgio -,Absolutely nothing : histoires et disparitions dans les déserts américains vasta giorgio - descriptions voyages villes disparues ruine etc--états-unis--sud-ouest---
764,Tortues /,"Pellegrino, Bruno",9782889071081; 2889071081,Zoé,Littérature suisse,764,Tortues,littérature suisse,pellegrino bruno,Tortues pellegrino bruno littérature suisse
765,L'art de la joie /,"Sapienza, Goliarda",9782370550446; 2370550449,Le Tripode,[Roman d'amour],765,L'art de la joie,roman damour,sapienza goliarda,L'art de la joie sapienza goliarda roman damour
766,En éclaireur : roman /,"Tawada, Yoko",9782378561635; 2378561636,Verdier,,766,En éclaireur : roman,,tawada yoko,En éclaireur : roman tawada yoko 
767,Espèces d'espaces /,"Perec, Georges",9782021479096; 2021479099,Seuil,,767,Espèces d'espaces,,perec georges,Espèces d'espaces perec georges 
768,Acide /,"Dumiot, Victor 19..-....",9782382924129; 2382924128,Bouquins,,768,Acide,,dumiot victor -,Acide dumiot victor - 
769,Sur la dalle /,"Vargas, Fred 1957-....",9782080420503; 208042050X,Flammarion,Roman policier français,769,Sur la dalle,roman policier français,vargas fred -,Sur la dalle vargas fred - roman policier français
770,Convoi pour Samarcande : roman /,"I︠A︡khina, Guzelʹ",9782882508607; 2882508603,Noir sur blanc,Roman historique russe; URSS--20e siècle; Roman historique,770,Convoi pour Samarcande : roman,roman historique russe urss--e siècle,i︠a︡khina guzelʹ,Convoi pour Samarcande : roman i︠a︡khina guzelʹ roman historique russe urss--e siècle
771,Heartstopper /,"Oseman, Alice",9782017108313; 2017108316; 9782017160212; 2017160210; 9782017108320; 2017108324; 9782017114260; 201711426X; 9782017114321; 2017114324; 9782017160090; 2017160091,Hachette,Harcèlement en milieu scolaire; Anorexie mentale; Homosexualité; Bandes dessinées,771,Heartstopper,harcèlement milieu scolaire anorexie mentale homosexualité bandes dessinées,oseman alice,Heartstopper oseman alice harcèlement milieu scolaire anorexie mentale homosexualité bandes dessinées
772,Intrigue à Brégançon : une enquête de Pénélope : Roman /,"Goetz, Adrien, 1966-",9782246831303; 224683130X,Bernard Grasset,Présidents--Résidences et lieux familiers.; Bormes-les-Mimosas (Var)--Fort de Brégançon.; Roman français.; Roman policier.,772,Intrigue à Brégançon : une enquête de Pénélope : Roman,présidents--résidences lieux familiers bormes-les-mimosas var--fort brégançon roman français policier,goetz adrien -,Intrigue à Brégançon : une enquête de Pénélope : Roman goetz adrien - présidents--résidences lieux familiers bormes-les-mimosas var--fort brégançon roman français policier
773,"Là-bas, août est un mois d'automne : roman /","Pellegrino, Bruno",9782889275076; 2889275078,Zoé,"Roud, Gustave; Roman suisse; Roman",773,"Là-bas, août est un mois d'automne : roman",roud gustave roman suisse,pellegrino bruno,"Là-bas, août est un mois d'automne : roman pellegrino bruno roud gustave roman suisse"
774,Un été à M. /,"Corminboeuf, Robin",9782940575305; 2940575304,Paulette éditrice,,774,Un été à M.,,corminboeuf robin,Un été à M. corminboeuf robin 
775,L'enragé : roman /,"Chalandon, Sorj",9782246834670; 2246834678,Bernard Grasset,Roman français,775,L'enragé : roman,roman français,chalandon sorj,L'enragé : roman chalandon sorj roman français
776,Les amis de passage /,"Ridet, Philippe",9782382844779; 2382844779,Equateurs,,776,Les amis de passage,,ridet philippe,Les amis de passage ridet philippe 
777,Alectone : et autres textes /,"Crisinel, Edmond-Henri",9.79109E+12,M Waknine,,777,Alectone : et autres textes,,crisinel edmond-henri,Alectone : et autres textes crisinel edmond-henri 
778,Déserter : roman /,"Enard, Mathias, 1972-",9782330181611; 2330181612,Actes sud,,778,Déserter : roman,,enard mathias -,Déserter : roman enard mathias - 
779,Cousu pour toi /,"Howald, Mathias",9782073026217; 2073026214,Gallimard,HIV Infections; Acquired Immunodeficiency Syndrome; Personal Narrative; Sida--Suisse; Sida et arts--Mémoire collective; Récits personnels,779,Cousu pour toi,hiv infections acquired immunodeficiency syndrome personal narrative sida--suisse sida arts--mémoire collective récits personnels,howald mathias,Cousu pour toi howald mathias hiv infections acquired immunodeficiency syndrome personal narrative sida--suisse sida arts--mémoire collective récits personnels
